number,regular_evaluations,ffi_evaluations
0,8.404292,0.087584
1,3.210625,0.008834
2,2.991042,0.006167000000000001
3,3.581833,0.006042
4,1.981375,0.005542
5,8.227167,0.005334
6,4.897666,0.005208999999999999
7,1.28075,0.010332999999999998
8,1.0744159999999998,0.005291
9,0.888875,0.005125
10,0.842625,0.005208999999999999
11,0.852792,0.005542
12,0.869917,0.0052499999999999995
13,0.662333,0.008708
14,0.721333,0.005541
15,0.751667,0.005417
16,0.6904170000000001,0.005791999999999999
17,0.659375,0.005417
18,0.674625,0.005542
19,0.7991670000000001,0.005417
20,0.851,0.005541
21,0.9822080000000001,0.005332999999999999
22,1.464417,0.0053750000000000004
23,0.818083,0.0065
24,0.9273750000000001,0.005332999999999999
25,0.6876249999999999,0.0055
26,0.638833,0.005417
27,0.655875,0.021417
28,0.684833,0.025707999999999998
29,0.691167,0.0095
30,0.696917,0.008
31,0.655416,0.006458
32,0.739125,0.006458
33,0.797083,0.006209
34,0.824458,0.006125
35,0.5664999999999999,0.006459
36,0.574083,0.005917
37,0.59525,0.0053750000000000004
38,0.7385,0.005332999999999999
39,0.749792,0.005667
40,0.613042,0.005667
41,0.652042,0.006209
42,0.596208,0.0055
43,0.657417,0.0055
44,1.2537500000000001,0.013333
45,1.0467499999999998,0.006042
46,0.7322080000000001,0.005334
47,0.621833,0.005292000000000001
48,0.5956250000000001,0.005125
49,0.49762500000000004,0.005332999999999999
50,0.6617500000000001,0.0053750000000000004
51,0.58925,0.005791999999999999
52,0.570292,0.0051660000000000005
53,0.725542,0.005291
54,0.5297499999999999,0.005332999999999999
55,0.5842080000000001,0.005291
56,0.6776249999999999,0.00575
57,0.782334,0.005458
58,0.617667,0.00625
59,0.5055,0.005458
60,0.621416,0.005667
61,0.513083,0.006167000000000001
62,0.578792,0.005417
63,0.5762919999999999,0.005541
64,0.554458,0.005458
65,0.5315829999999999,0.005417
66,0.477959,0.005292000000000001
67,0.537792,0.005416000000000001
68,0.487125,0.005167
69,0.658417,0.0054589999999999994
70,0.5198750000000001,0.005125
71,0.666875,0.005625000000000001
72,0.647958,0.005125
73,0.757709,0.005291
74,0.7385,0.0053750000000000004
75,0.5697500000000001,0.005292000000000001
76,0.512625,0.005332999999999999
77,0.5217499999999999,0.0053750000000000004
78,0.6002919999999999,0.0052499999999999995
79,0.611375,0.005584
80,0.51625,0.005208
81,0.5233749999999999,0.0053750000000000004
82,0.5519999999999999,0.005292000000000001
83,0.591959,0.0052499999999999995
84,0.5624579999999999,0.005582999999999999
85,0.5825,0.0055
86,0.513459,0.0052499999999999995
87,0.5061249999999999,0.005208
88,0.55625,0.0053750000000000004
89,0.5222920000000001,0.006375
90,0.515209,0.005625000000000001
91,0.621583,0.0052499999999999995
92,0.518333,0.0052499999999999995
93,0.5389579999999999,0.005833
94,0.5332089999999999,0.005416000000000001
95,0.819542,0.005417
96,0.8700840000000001,0.005625000000000001
97,0.546333,0.0053750000000000004
98,0.5172920000000001,0.0051660000000000005
99,0.618375,0.0052499999999999995
100,0.555167,0.005458
101,0.479708,0.005416000000000001
102,0.549833,0.005208
103,0.631417,0.005292000000000001
104,0.5345420000000001,0.005416000000000001
105,0.608125,0.005542
106,0.508709,0.005625000000000001
107,0.61225,0.005833
108,0.462375,0.005167
109,0.504125,0.005541
110,0.544833,0.005625000000000001
111,0.550875,0.006208
112,0.553916,0.005458
113,0.489375,0.005542
114,0.6726669999999999,0.005167
115,0.589125,0.005125
116,0.559,0.005167
117,0.593333,0.005709
118,0.802458,0.005334
119,0.572666,0.0052499999999999995
120,0.564416,0.011625
121,0.575208,0.0053750000000000004
122,0.532042,0.0055
123,0.49799999999999994,0.005584
124,0.5634159999999999,0.005167
125,0.598166,0.005417
126,0.497208,0.005125
127,0.5848329999999999,0.0053750000000000004
128,0.540875,0.005332999999999999
129,0.606208,0.005292000000000001
130,0.5902499999999999,0.0051660000000000005
131,0.6008749999999999,0.0055
132,0.571292,0.0052499999999999995
133,0.517,0.005417
134,0.513334,0.005125
135,0.643166,0.005417
136,0.614375,0.005167
137,0.560417,0.0053750000000000004
138,0.5265,0.005291
139,0.506292,0.005167
140,0.46525,0.005458
141,0.53125,0.0055
142,0.48708300000000004,0.0067079999999999996
143,0.568583,0.005875
144,0.662292,0.005291
145,0.601959,0.0055
146,1.424708,0.005332999999999999
147,0.789375,0.005208
148,0.58,0.005292000000000001
149,0.567666,0.0055
150,0.620791,0.0051660000000000005
151,0.6244999999999999,0.0052499999999999995
152,0.549,0.005208
153,0.50475,0.005332999999999999
154,0.592,0.005291
155,0.477958,0.0051660000000000005
156,0.5151249999999999,0.008
157,0.525083,0.0053750000000000004
158,0.5865,0.005167
159,0.612708,0.005208
160,0.597792,0.0052499999999999995
161,0.646209,0.005542
162,0.549584,0.005208999999999999
163,0.600542,0.005584
164,0.516833,0.005417
165,0.629209,0.010625
166,0.6259170000000001,0.005208
167,0.569209,0.005167
168,0.485042,0.006
169,0.576708,0.005417
170,0.5410830000000001,0.005292000000000001
171,0.55825,0.005332999999999999
172,0.56675,0.0051660000000000005
173,0.609833,0.005417
174,0.5312920000000001,0.005292000000000001
175,0.539458,0.005791999999999999
176,0.5862499999999999,0.005208999999999999
177,0.532292,0.006084
178,0.774667,0.0053750000000000004
179,0.51925,0.005458
180,0.5494169999999999,0.005541
181,0.5361250000000001,0.005291
182,0.459834,0.0052499999999999995
183,0.5385420000000001,0.005125
184,0.512042,0.0052499999999999995
185,0.523792,0.005417
186,0.507792,0.005584
187,0.485834,0.005417
188,0.48491700000000004,0.0052499999999999995
189,0.5127079999999999,0.005417
190,0.560959,0.0052499999999999995
191,0.724666,0.005666
192,0.600041,0.005167
193,0.48666600000000004,0.005292000000000001
194,0.5581670000000001,0.005292000000000001
195,0.517167,0.0055
196,0.500292,0.00625
197,0.540625,0.0053750000000000004
198,0.585084,0.0053750000000000004
199,0.532292,0.005332999999999999
200,1.06675,0.005292000000000001
201,0.690458,0.005584
202,0.663209,0.005292000000000001
203,0.6455420000000001,0.005292000000000001
204,0.682208,0.0051660000000000005
205,0.536834,0.005458
206,0.45525,0.005125
207,0.5634589999999999,0.005208
208,0.534417,0.005208
209,0.677875,0.005416000000000001
210,0.5512079999999999,0.0055
211,0.543167,0.0053750000000000004
212,0.527292,0.0053750000000000004
213,0.556417,0.005541
214,0.688833,0.0052499999999999995
215,0.505375,0.0054589999999999994
216,0.556875,0.005917
217,0.7436250000000001,0.005542
218,0.671167,0.005167
219,0.691584,0.005542
220,0.537167,0.0053750000000000004
221,0.5885410000000001,0.005834000000000001
222,0.537625,0.005125
223,0.49974999999999997,0.0053750000000000004
224,0.5681250000000001,0.005791999999999999
225,0.5329160000000001,0.005542
226,0.660083,0.005292000000000001
227,0.551667,0.005332999999999999
228,0.566458,0.0053750000000000004
229,0.5255420000000001,0.00575
230,0.5730419999999999,0.0053750000000000004
231,0.5285,0.005875
232,0.503209,0.005292000000000001
233,0.6625,0.005334
234,0.645583,0.005667
235,0.5607500000000001,0.005458
236,0.6855840000000001,0.0051660000000000005
237,0.515875,0.00575
238,0.612959,0.0053750000000000004
239,0.48258300000000004,0.005167
240,0.556958,0.005167
241,0.5008750000000001,0.005208
242,0.532208,0.005332999999999999
243,0.5037079999999999,0.005625000000000001
244,0.54475,0.0052499999999999995
245,0.566166,0.005332999999999999
246,0.544708,0.005125
247,0.565834,0.0055
248,0.5880409999999999,0.0052499999999999995
249,0.602791,0.005292000000000001
250,0.583125,0.005584
251,1.244084,0.005208999999999999
252,0.615041,0.005834000000000001
253,0.707042,0.005667
254,0.566792,0.0050420000000000005
255,0.546209,0.0050420000000000005
256,0.5766249999999999,0.005
257,0.561583,0.0052499999999999995
258,0.640875,0.005334
259,0.691167,0.0055
260,0.5910829999999999,0.005208
261,0.63025,0.005416000000000001
262,0.6519590000000001,0.005208
263,0.538042,0.005208
264,0.53125,0.005167
265,0.556125,0.0053750000000000004
266,0.49299999999999994,0.005582999999999999
267,0.560792,0.005292000000000001
268,0.606625,0.0049169999999999995
